File 1,Frame 1,File 2,Frame 2,Distance
drinking_poison_mru_aug13_4.npy,12,writing_mru_aug04_3.npy,9,0.39221395191939
drinking_poison_mru_aug13_4.npy,12,writing_mru_aug04_2.npy,14,0.39221395191939
drinking_poison_mru_aug13_4.npy,12,writing_mru_aug04_4.npy,4,0.39221395191939
drinking_poison_mru_aug11_6.npy,2,writing_mru_aug04_3.npy,9,0.3844965109411857
drinking_poison_mru_aug11_6.npy,2,writing_mru_aug04_2.npy,14,0.3844965109411857
drinking_poison_mru_aug11_6.npy,2,writing_mru_aug04_4.npy,4,0.3844965109411857
drinking_poison_mru_aug13_5.npy,7,writing_mru_aug04_3.npy,9,0.39221395191939
drinking_poison_mru_aug13_5.npy,7,writing_mru_aug04_2.npy,14,0.39221395191939
drinking_poison_mru_aug13_5.npy,7,writing_mru_aug04_4.npy,4,0.39221395191939
drinking_poison_mru_aug11_3.npy,17,writing_mru_aug04_3.npy,9,0.3844965109411857
drinking_poison_mru_aug11_3.npy,17,writing_mru_aug04_2.npy,14,0.3844965109411857
drinking_poison_mru_aug11_3.npy,17,writing_mru_aug04_4.npy,4,0.3844965109411857
drinking_poison_mru_aug13_3.npy,17,writing_mru_aug04_3.npy,9,0.39221395191939
drinking_poison_mru_aug13_3.npy,17,writing_mru_aug04_2.npy,14,0.39221395191939
drinking_poison_mru_aug13_3.npy,17,writing_mru_aug04_4.npy,4,0.39221395191939
